DATE;TIME;LOAD
8/2/2017;19;7327.71
8/2/2017;20;7545.37
8/2/2017;21;7428.71
8/2/2017;22;7034.44
8/2/2017;23;6494.22
8/2/2017;24;6017.41
9/2/2017;1;5371.53
9/2/2017;2;4879.2
9/2/2017;3;4846.54
9/2/2017;4;4702.86
9/2/2017;5;4613.85
9/2/2017;6;4700.35
9/2/2017;7;5179.25
9/2/2017;8;5994.77
9/2/2017;9;6546.86
9/2/2017;10;6924.62
9/2/2017;11;7026.93
9/2/2017;12;7020.68
9/2/2017;13;7049.89
9/2/2017;14;7021.28
9/2/2017;15;6858.03
9/2/2017;16;6964.9
9/2/2017;17;6891.45
9/2/2017;18;6895.47
9/2/2017;19;7489.23
9/2/2017;20;7743.53
9/2/2017;21;7654.34
9/2/2017;22;7197.05
9/2/2017;23;6582.27
9/2/2017;24;6138.73
10/2/2017;1;5435.76
10/2/2017;2;4941.79
10/2/2017;3;4993.81
10/2/2017;4;4804.65
10/2/2017;5;4723.29
10/2/2017;6;4740.56
10/2/2017;7;5255.19
10/2/2017;8;6099.13
10/2/2017;9;6587.02
10/2/2017;10;6975.4
10/2/2017;11;7127.04
10/2/2017;12;7159.67
10/2/2017;13;7193.14
10/2/2017;14;7167.98
10/2/2017;15;6997.28
10/2/2017;16;7139.84
10/2/2017;17;7121.1
10/2/2017;18;7185.62
10/2/2017;19;7679.53
10/2/2017;20;7864.07
10/2/2017;21;7697.81
10/2/2017;22;7160.44
10/2/2017;23;6555.56
10/2/2017;24;6114.88
11/2/2017;1;5490.56
11/2/2017;2;4992.82
11/2/2017;3;4852.42
11/2/2017;4;4737.44
11/2/2017;5;4589.66
11/2/2017;6;4654.01
11/2/2017;7;4741.2
11/2/2017;8;5102.58
11/2/2017;9;5688.42
11/2/2017;10;6394.09
11/2/2017;11;6730.84
11/2/2017;12;6858.87
